 slim_762167752 slim_762167744 slim_762167747 slim_762167746 slim_762167793 slim_762167791 slim_762167720 slim_762167751 slim_762167792 slim_762167753 slim_762167765 slim_762167721 slim_762167749 slim_762167750 slim_762167748 slim_762167783 slim_762167777 slim_762167790 slim_762167770 slim_762167796 slim_762167761 slim_762167780 slim_762167768 slim_762167778 slim_762167722 slim_762167789 slim_762167737 slim_762167788 slim_762167766 slim_762167730 slim_762167754 slim_762167729 slim_762167731 slim_762167756 slim_762167743 slim_762167745 slim_762167726 slim_762167798 slim_762167794 slim_762167732 slim_762167760 slim_762167787 slim_762167785 slim_762167773 slim_762167735 slim_762167799 slim_762167728 slim_762167771 slim_762167779 slim_762167763 slim_762167781 slim_762167733 slim_762167736 slim_762167772 slim_762167725 slim_762167719 slim_762167738 slim_762167776 slim_762167795 slim_762167758 slim_762167759 slim_762167767 slim_762167727 slim_762167769 slim_762167739 slim_762167755 slim_762167741 slim_762167757 slim_762167724 slim_762167734 slim_762167784 slim_762167782 slim_762167764 slim_762167723 slim_762167774 slim_762167797 slim_762167786 slim_762167740 slim_762167762 slim_762167742 slim_762167775
45 2.1e-06 2.45e-06 2.4e-06 1.75e-06 2.3e-06 2.25e-06 1.4e-06 1.6e-06 2e-06 3e-06 1.75e-06 2.65e-06 2.75e-06 2.05e-06 2.55e-06 2.05e-06 1.4e-06 2.4e-06 2.85e-06 1.55e-06 1.8e-06 3.05e-06 2.95e-06 1.55e-06 2.3e-06 1.75e-06 2.25e-06 2.6e-06 3.1e-06 1.35e-06 2.75e-06 1.8e-06 2e-06 2.25e-06 2.3e-06 2.2e-06 2.65e-06 1.25e-06 1.35e-06 6e-07 1.6e-06 1.85e-06 1.35e-06 2.15e-06 1.65e-06 1e-06 1.75e-06 2.35e-06 6e-07 1.8e-06 1.9e-06 2.7e-06 2.05e-06 2.2e-06 1.5e-06 2.75e-06 5.5e-07 2.35e-06 2.35e-06 2.25e-06 1.55e-06 2.85e-06 1.45e-06 2.8e-06 2.7e-06 2.55e-06 1.7e-06 1.4e-06 2.55e-06 1.6e-06 2.25e-06 2.35e-06 2.7e-06 1.4e-06 2.05e-06 1.9e-06 2.4e-06 6e-07 5.5e-07 1.6e-06 1.4e-06
46 2.25e-06 1.85e-06 2.45e-06 2.25e-06 2.35e-06 2.35e-06 1.95e-06 2.1e-06 2.4e-06 2.15e-06 2.1e-06 2e-06 2.6e-06 2.25e-06 1.9e-06 2.35e-06 2.15e-06 2.45e-06 2.15e-06 2.2e-06 2.35e-06 1.65e-06 2.75e-06 2.2e-06 2.5e-06 1.55e-06 2.15e-06 2.45e-06 2.2e-06 1.9e-06 2.1e-06 1.6e-06 2.2e-06 2.2e-06 2.4e-06 2.45e-06 2.55e-06 2.1e-06 2.1e-06 1.85e-06 2.25e-06 2.4e-06 1.9e-06 1.85e-06 2.2e-06 1.75e-06 3e-06 2.45e-06 1.6e-06 2.25e-06 1.7e-06 2.1e-06 2.25e-06 2.3e-06 2.05e-06 2.1e-06 1.55e-06 2.45e-06 2.4e-06 2.2e-06 1.85e-06 2.15e-06 2e-06 2.15e-06 2.55e-06 2.5e-06 2.2e-06 1.95e-06 2.4e-06 2.15e-06 2.35e-06 2.35e-06 2.7e-06 2.2e-06 2.25e-06 1.9e-06 2.5e-06 1.6e-06 1.55e-06 2.1e-06 1.95e-06
47 1.8e-06 2.25e-06 1.5e-06 1.9e-06 1.7e-06 1.95e-06 2.05e-06 2e-06 1.8e-06 2.4e-06 2.15e-06 2.15e-06 1.95e-06 1.8e-06 2.05e-06 1.9e-06 2.2e-06 1.5e-06 2.05e-06 2.15e-06 2.2e-06 2.6e-06 1.85e-06 2e-06 1.45e-06 2.4e-06 1.8e-06 1.75e-06 2.35e-06 1.95e-06 2.2e-06 2.5e-06 1.8e-06 2.1e-06 1.7e-06 2e-06 2e-06 2.2e-06 2.15e-06 2.3e-06 2e-06 2.25e-06 1.95e-06 2.3e-06 2.1e-06 2.35e-06 2.45e-06 2.3e-06 2.3e-06 1.95e-06 2.45e-06 2.15e-06 1.65e-06 1.55e-06 1.95e-06 1.85e-06 2.2e-06 1.5e-06 2.15e-06 2.1e-06 2.1e-06 2.05e-06 1.7e-06 1.9e-06 1.9e-06 2.1e-06 2.1e-06 1.65e-06 1.65e-06 1.7e-06 1.4e-06 1.45e-06 2.3e-06 1.8e-06 1.55e-06 1.9e-06 1.45e-06 2.15e-06 2.2e-06 2e-06 1.75e-06
48 2.15e-06 2.5e-06 2.35e-06 1.6e-06 2.25e-06 2.3e-06 1.25e-06 1.7e-06 2e-06 2.9e-06 1.5e-06 2.6e-06 2.7e-06 1.9e-06 2.5e-06 2.05e-06 1.3e-06 2.35e-06 2.8e-06 1.5e-06 2e-06 3e-06 2.9e-06 1.35e-06 2.25e-06 1.6e-06 2.2e-06 2.55e-06 3.05e-06 1.2e-06 2.7e-06 1.65e-06 1.85e-06 2.1e-06 2.25e-06 2.15e-06 2.5e-06 1.55e-06 1.25e-06 6.5e-07 1.5e-06 2.05e-06 1.05e-06 2.15e-06 1.45e-06 6e-07 1.6e-06 2.3e-06 5e-07 1.75e-06 1.7e-06 2.65e-06 2.05e-06 2.15e-06 1.3e-06 2.7e-06 3e-07 2.3e-06 2.4e-06 2.1e-06 1.4e-06 2.8e-06 1.25e-06 2.75e-06 2.65e-06 2.4e-06 1.8e-06 1.25e-06 2.5e-06 1.4e-06 2.15e-06 2.3e-06 2.65e-06 1.6e-06 1.9e-06 1.75e-06 2.35e-06 2.5e-07 2.5e-07 1.7e-06 1.25e-06
49 1.7e-06 2.2e-06 1.65e-06 1.9e-06 1.55e-06 1.85e-06 1.6e-06 1.55e-06 1.6e-06 2.75e-06 2.15e-06 2e-06 2.1e-06 1.45e-06 2e-06 1.55e-06 1.75e-06 1.65e-06 2.25e-06 1.75e-06 2.25e-06 2.75e-06 2.3e-06 1.9e-06 1.95e-06 2.2e-06 1.6e-06 2.1e-06 2.75e-06 1.7e-06 2.3e-06 2.3e-06 1.25e-06 1.65e-06 1.55e-06 1.9e-06 2.25e-06 1.8e-06 1.7e-06 1.75e-06 2.05e-06 2.3e-06 1.5e-06 2.05e-06 1.85e-06 1.8e-06 2.25e-06 1.95e-06 1.75e-06 2.2e-06 2.25e-06 2.2e-06 1.5e-06 1.6e-06 1.7e-06 2.25e-06 1.65e-06 2e-06 1.9e-06 1.65e-06 1.75e-06 2.25e-06 1.9e-06 2.3e-06 2e-06 2.05e-06 1.65e-06 1.85e-06 1.9e-06 1.75e-06 1.55e-06 1.65e-06 2.5e-06 2e-06 1.7e-06 1.9e-06 1.6e-06 1.6e-06 1.65e-06 1.55e-06 1.95e-06
50 2.25e-06 1.85e-06 2.45e-06 2.35e-06 2.35e-06 2.35e-06 2.1e-06 2.1e-06 2.4e-06 2.15e-06 2.05e-06 1.9e-06 2.6e-06 2.25e-06 1.9e-06 2.3e-06 2.1e-06 2.45e-06 2.05e-06 2.2e-06 2.35e-06 1.55e-06 2.75e-06 2.15e-06 2.5e-06 1.65e-06 2.15e-06 2.45e-06 2.2e-06 2.05e-06 2.1e-06 1.65e-06 2.2e-06 2.2e-06 2.4e-06 2.45e-06 2.55e-06 2.1e-06 2.05e-06 1.8e-06 2.35e-06 2.4e-06 1.8e-06 1.85e-06 2.15e-06 1.9e-06 1.7e-06 2.45e-06 1.7e-06 2.25e-06 3e-06 2.1e-06 2.25e-06 2.3e-06 2e-06 2.1e-06 1.65e-06 2.45e-06 2.4e-06 2.2e-06 1.85e-06 2.05e-06 1.95e-06 2.05e-06 2.55e-06 2.5e-06 2.2e-06 1.95e-06 2.4e-06 2.1e-06 2.3e-06 2.35e-06 2.7e-06 2.2e-06 2.25e-06 2e-06 2.5e-06 1.5e-06 1.6e-06 2.1e-06 2.05e-06
51 1.8e-06 1.8e-06 1.75e-06 2.55e-06 1.65e-06 2e-06 2.15e-06 2.1e-06 2.1e-06 1.95e-06 2.4e-06 1.6e-06 2.05e-06 1.95e-06 1.45e-06 2.1e-06 2.6e-06 1.75e-06 1.85e-06 2.5e-06 2.5e-06 1.55e-06 2.3e-06 2.55e-06 2.25e-06 2.05e-06 1.55e-06 1.8e-06 1.95e-06 2.1e-06 1.6e-06 2.15e-06 1.95e-06 2.05e-06 1.55e-06 2.05e-06 2.1e-06 2.45e-06 2.55e-06 2.65e-06 2.7e-06 2.55e-06 2.1e-06 1.75e-06 2e-06 2.7e-06 2.1e-06 2.15e-06 2.65e-06 2.2e-06 2.1e-06 2.6e-06 1.75e-06 1.4e-06 2.1e-06 1.9e-06 2.55e-06 1.65e-06 2.15e-06 2.05e-06 2.05e-06 1.85e-06 2.3e-06 1.95e-06 2e-06 2.4e-06 2.15e-06 2.25e-06 2e-06 2.45e-06 1.95e-06 1.9e-06 2.55e-06 2.4e-06 1.95e-06 1.75e-06 1.95e-06 2.5e-06 2.55e-06 2.1e-06 2.35e-06
52 1.1e-06 1.75e-06 1.1e-06 1.8e-06 1.15e-06 1.3e-06 1.55e-06 1.4e-06 1.45e-06 2.35e-06 2.05e-06 1.75e-06 1.75e-06 1.3e-06 1.65e-06 1.3e-06 1.7e-06 1.1e-06 1.85e-06 1.55e-06 2.15e-06 2.45e-06 1.85e-06 1.65e-06 1.6e-06 2.2e-06 1.25e-06 1.6e-06 2.4e-06 1.6e-06 1.85e-06 2.3e-06 1.2e-06 1.6e-06 1.05e-06 1.55e-06 1.85e-06 1.6e-06 1.65e-06 2e-06 1.8e-06 2.2e-06 1.6e-06 2e-06 1.7e-06 2.05e-06 2.25e-06 1.65e-06 2.05e-06 1.5e-06 2.25e-06 1.75e-06 1.8e-06 1e-06 1.6e-06 2e-06 1.95e-06 1.5e-06 1.55e-06 1.6e-06 1.75e-06 1.85e-06 1.85e-06 2.05e-06 1.7e-06 1.95e-06 1.45e-06 1.8e-06 1.65e-06 1.8e-06 1.4e-06 1.4e-06 2.25e-06 1.9e-06 1.3e-06 1.45e-06 1.3e-06 1.9e-06 1.95e-06 1.4e-06 1.9e-06
53 1.05e-06 2.15e-06 8.5e-07 2.05e-06 7e-07 1.35e-06 1.45e-06 1.55e-06 1.35e-06 2.25e-06 2e-06 1.65e-06 1.55e-06 1.25e-06 1.4e-06 1.55e-06 2.2e-06 9e-07 2.05e-06 2.15e-06 2.15e-06 2.45e-06 1.95e-06 2e-06 1.6e-06 2.25e-06 7e-07 1.1e-06 2.3e-06 1.3e-06 1.45e-06 2.35e-06 1.4e-06 1.65e-06 4.5e-07 1.2e-06 1.45e-06 2.1e-06 2.15e-06 2.15e-06 2.15e-06 2.2e-06 1.45e-06 1.7e-06 1.35e-06 2.2e-06 2.3e-06 1.55e-06 2.15e-06 1.6e-06 2.3e-06 1.4e-06 1e-06 2e-07 1.3e-06 2.05e-06 2.05e-06 9.5e-07 1.75e-06 1.65e-06 1.55e-06 2.05e-06 1.75e-06 2.1e-06 1.5e-06 2.15e-06 1.55e-06 1.7e-06 1.45e-06 1.9e-06 1.25e-06 1.25e-06 2.2e-06 1.85e-06 1.15e-06 1.1e-06 1.2e-06 2e-06 2.05e-06 1.55e-06 1.8e-06
54 1.7e-06 2.35e-06 1.7e-06 1.9e-06 1.5e-06 1.85e-06 1.5e-06 1.65e-06 1.75e-06 2.6e-06 1.75e-06 2.15e-06 2.1e-06 1.55e-06 2.05e-06 1.8e-06 1.75e-06 1.7e-06 2.45e-06 1.8e-06 2.1e-06 2.75e-06 2.45e-06 1.7e-06 1.95e-06 2e-06 1.55e-06 1.9e-06 2.7e-06 1.35e-06 2e-06 2.1e-06 1.65e-06 1.9e-06 1.5e-06 1.75e-06 2e-06 1.85e-06 1.7e-06 1.4e-06 1.9e-06 2.15e-06 1.25e-06 2e-06 1.4e-06 1.5e-06 2.05e-06 1.95e-06 1.3e-06 1.7e-06 2e-06 2.1e-06 1.6e-06 1.3e-06 2.2e-06 2.4e-06 1.25e-06 1.7e-06 2.1e-06 1.9e-06 1.5e-06 2.45e-06 1.5e-06 2.45e-06 2.1e-06 2.3e-06 1.75e-06 1.5e-06 2e-06 1.6e-06 1.7e-06 1.8e-06 2.45e-06 1.75e-06 1.6e-06 1.55e-06 1.85e-06 1.1e-06 1.2e-06 1.65e-06 1.6e-06
55 2.05e-06 1.7e-06 1.85e-06 2.35e-06 2.05e-06 2.15e-06 2.4e-06 2.15e-06 2.05e-06 2e-06 2.55e-06 1.75e-06 2.35e-06 2.15e-06 1.65e-06 2.1e-06 2.5e-06 1.85e-06 1.6e-06 2.45e-06 2.65e-06 1.45e-06 2.2e-06 2.6e-06 1.95e-06 2.05e-06 1.9e-06 2.25e-06 2.05e-06 2.4e-06 1.85e-06 2.15e-06 2.05e-06 2.1e-06 2.1e-06 2.4e-06 2.5e-06 2.4e-06 2.45e-06 2.7e-06 2.75e-06 2.7e-06 2.25e-06 1.9e-06 2.55e-06 2.75e-06 2.1e-06 1.85e-06 2.7e-06 2.25e-06 2.1e-06 1.9e-06 2e-06 2.05e-06 2.4e-06 2.7e-06 2.6e-06 2.35e-06 2.15e-06 2.1e-06 2.2e-06 1.6e-06 2.5e-06 1.45e-06 2.3e-06 2.45e-06 2.25e-06 2.45e-06 1.65e-06 2e-06 1.6e-06 1.6e-06 2.7e-06 2.6e-06 1.9e-06 2.1e-06 1.7e-06 2.55e-06 2.6e-06 2.15e-06 2.55e-06
56 2.05e-06 2.4e-06 2.25e-06 1.5e-06 2.15e-06 2.2e-06 1.2e-06 1.6e-06 1.9e-06 2.8e-06 1.45e-06 2.5e-06 2.6e-06 1.8e-06 2.4e-06 2e-06 1.25e-06 2.25e-06 2.7e-06 1.4e-06 1.9e-06 2.9e-06 2.8e-06 1.35e-06 2.15e-06 1.5e-06 2.1e-06 2.45e-06 2.95e-06 1.15e-06 2.6e-06 1.6e-06 1.75e-06 2e-06 2.15e-06 2.05e-06 2.4e-06 1.45e-06 1.2e-06 6e-07 1.4e-06 1.95e-06 1.1e-06 2.05e-06 1.4e-06 5.5e-07 1.55e-06 2.2e-06 3e-07 1.65e-06 1.65e-06 2.55e-06 1.95e-06 2.05e-06 1.25e-06 2.6e-06 3e-07 2.2e-06 2.3e-06 2e-06 1.3e-06 2.7e-06 1.2e-06 2.65e-06 2.55e-06 2.3e-06 1.7e-06 1.15e-06 2.4e-06 1.35e-06 2.1e-06 2.2e-06 2.55e-06 1.5e-06 1.8e-06 1.65e-06 2.25e-06 2.5e-07 2e-07 1.6e-06 1.15e-06
57 1.6e-06 2.35e-06 1.5e-06 2.2e-06 1.35e-06 1.8e-06 1.9e-06 2e-06 1.95e-06 2.3e-06 2.05e-06 2.05e-06 1.75e-06 1.7e-06 1.9e-06 2e-06 2.4e-06 1.5e-06 2.35e-06 2.35e-06 2.1e-06 2.6e-06 2.05e-06 2e-06 1.8e-06 2.4e-06 1.45e-06 1.35e-06 2.25e-06 1.7e-06 1.9e-06 2.5e-06 1.85e-06 2.1e-06 1.25e-06 1.7e-06 1.65e-06 2.3e-06 2.35e-06 2.3e-06 2e-06 2.15e-06 1.85e-06 2.15e-06 1.6e-06 2.35e-06 2.45e-06 1.5e-06 2.3e-06 2e-06 2.45e-06 1.65e-06 1.5e-06 9.5e-07 1.7e-06 2.35e-06 2.2e-06 1.7e-06 2.2e-06 2.1e-06 1.95e-06 2.35e-06 1.55e-06 2.4e-06 1.7e-06 2.15e-06 2.05e-06 1.5e-06 2e-06 2.2e-06 1.8e-06 1.8e-06 2.2e-06 1.65e-06 1.65e-06 1.55e-06 1.8e-06 2.15e-06 2.2e-06 2e-06 1.6e-06
58 1.6e-06 1.85e-06 1.75e-06 2.25e-06 1.7e-06 1.7e-06 2.05e-06 1.7e-06 1.95e-06 2.65e-06 2.55e-06 2e-06 2.35e-06 1.8e-06 1.9e-06 1.45e-06 1.85e-06 1.75e-06 2.1e-06 1.75e-06 2.6e-06 2.4e-06 2.45e-06 2.2e-06 2.1e-06 2.35e-06 1.6e-06 2.3e-06 2.7e-06 2.1e-06 2.2e-06 2.45e-06 1.65e-06 1.65e-06 1.75e-06 2.1e-06 2.5e-06 1.85e-06 1.8e-06 2.3e-06 2.35e-06 2.65e-06 1.95e-06 2.2e-06 2.25e-06 2.35e-06 2.4e-06 2.15e-06 2.4e-06 1.9e-06 2.4e-06 2.15e-06 1.55e-06 1.75e-06 2.1e-06 2.15e-06 2.3e-06 2.2e-06 2.7e-06 1.65e-06 1.8e-06 2.1e-06 2.35e-06 2.2e-06 2.3e-06 2.45e-06 1.8e-06 2.3e-06 1.7e-06 2.15e-06 1.75e-06 1.75e-06 2.75e-06 2.35e-06 1.85e-06 1.8e-06 1.8e-06 2.25e-06 2.3e-06 1.7e-06 2.4e-06
59 1.7e-06 1.95e-06 1.75e-06 2.15e-06 1.6e-06 1.8e-06 1.85e-06 1.8e-06 1.95e-06 2.5e-06 2.3e-06 1.9e-06 2.25e-06 1.45e-06 1.8e-06 1.7e-06 2e-06 1.75e-06 2.1e-06 1.9e-06 2.6e-06 2.3e-06 2.45e-06 2.15e-06 2.05e-06 2.15e-06 1.5e-06 2.2e-06 2.6e-06 1.9e-06 2.1e-06 2.25e-06 1.3e-06 1.25e-06 1.65e-06 2e-06 2.25e-06 2.05e-06 1.95e-06 2.2e-06 2.3e-06 2.65e-06 1.75e-06 2.1e-06 2.05e-06 2.25e-06 2.2e-06 2.1e-06 2.1e-06 1.65e-06 2.2e-06 2.05e-06 1.6e-06 1.65e-06 1.9e-06 2.1e-06 2e-06 2.1e-06 1.65e-06 2.5e-06 1.55e-06 2.1e-06 2.15e-06 2.15e-06 2.2e-06 2.1e-06 1.9e-06 2.1e-06 1.6e-06 2e-06 1.7e-06 1.7e-06 2.65e-06 2.35e-06 1.7e-06 1.6e-06 1.75e-06 1.95e-06 2e-06 1.8e-06 2.2e-06
60 1.75e-06 2.05e-06 1.85e-06 1.95e-06 1.6e-06 1.85e-06 1.55e-06 1.6e-06 1.8e-06 2.5e-06 1.95e-06 1.95e-06 2.3e-06 1.75e-06 1.85e-06 1.85e-06 1.85e-06 1.85e-06 2.25e-06 1.9e-06 2.25e-06 2.3e-06 2.6e-06 1.9e-06 2.1e-06 1.8e-06 1.4e-06 2.15e-06 2.6e-06 1.5e-06 2.05e-06 1.9e-06 1.7e-06 1.55e-06 1.65e-06 1.9e-06 2.25e-06 1.8e-06 1.8e-06 1.5e-06 2.05e-06 2.3e-06 1.35e-06 1.8e-06 1.65e-06 1.55e-06 1.85e-06 2.1e-06 1.4e-06 1.75e-06 1.85e-06 2.05e-06 1.75e-06 1.55e-06 1.5e-06 2.2e-06 1.3e-06 1.95e-06 1.8e-06 1.55e-06 2.3e-06 2.25e-06 1.7e-06 2.25e-06 2.25e-06 2.45e-06 1.7e-06 1.65e-06 1.65e-06 1.75e-06 1.75e-06 1.75e-06 2.6e-06 1.9e-06 1.75e-06 1.45e-06 1.9e-06 1.25e-06 1.3e-06 1.6e-06 1.75e-06
61 1.95e-06 1.6e-06 1.7e-06 2.25e-06 1.95e-06 2.05e-06 2.35e-06 2.1e-06 1.95e-06 2.05e-06 2.6e-06 1.55e-06 2.25e-06 2.15e-06 1.6e-06 2.05e-06 2.5e-06 1.7e-06 1.35e-06 2.35e-06 2.7e-06 1.4e-06 2.05e-06 2.55e-06 2.15e-06 2.1e-06 1.85e-06 2.25e-06 2.05e-06 2.45e-06 1.9e-06 2.1e-06 1.95e-06 2.1e-06 2e-06 2.45e-06 2.5e-06 2.35e-06 2.45e-06 2.8e-06 2.7e-06 2.75e-06 2.3e-06 1.95e-06 2.6e-06 2.85e-06 2.15e-06 2.05e-06 2.8e-06 2.25e-06 2.05e-06 1.85e-06 1.85e-06 2.05e-06 2.45e-06 1.6e-06 2.7e-06 2.35e-06 2.1e-06 2.1e-06 2.25e-06 2.7e-06 2.55e-06 1.55e-06 2.2e-06 2.45e-06 2.2e-06 2.5e-06 1.85e-06 2.25e-06 1.8e-06 1.75e-06 2.75e-06 2.65e-06 2.1e-06 2.1e-06 1.8e-06 2.65e-06 2.7e-06 2.1e-06 2.6e-06
62 1.95e-06 2.35e-06 2.05e-06 1.85e-06 1.95e-06 2.1e-06 1.7e-06 1.9e-06 2.1e-06 2.45e-06 1.6e-06 2.35e-06 2.15e-06 1.85e-06 2.25e-06 2.05e-06 1.75e-06 2.05e-06 2.55e-06 1.85e-06 1.85e-06 2.7e-06 2.35e-06 1.5e-06 1.95e-06 1.95e-06 2e-06 1.9e-06 2.45e-06 1.55e-06 2.35e-06 2.05e-06 1.9e-06 2.15e-06 1.95e-06 2e-06 2e-06 1.85e-06 1.7e-06 1.35e-06 1.55e-06 1.9e-06 1.45e-06 2.2e-06 1.65e-06 1.45e-06 2e-06 1.7e-06 1.25e-06 1.9e-06 1.95e-06 2.3e-06 1.85e-06 1.75e-06 1.5e-06 2.5e-06 1.2e-06 1.55e-06 2.35e-06 2.15e-06 1.7e-06 2.55e-06 2.1e-06 2.55e-06 2.1e-06 2.1e-06 2e-06 1.1e-06 2.35e-06 1.75e-06 2.05e-06 2.15e-06 2.25e-06 1.35e-06 1.85e-06 1.75e-06 2.2e-06 1.05e-06 1.15e-06 1.9e-06 1.2e-06
63 2.1e-06 1.75e-06 1.9e-06 2.4e-06 2.1e-06 2.2e-06 2.45e-06 2.2e-06 2.1e-06 2.1e-06 2.6e-06 1.7e-06 2.4e-06 2.2e-06 1.7e-06 2.15e-06 2.55e-06 1.9e-06 1.55e-06 2.5e-06 2.7e-06 1.45e-06 2.25e-06 2.65e-06 2e-06 2.1e-06 1.95e-06 2.3e-06 2.1e-06 2.45e-06 1.95e-06 2.1e-06 2.1e-06 2.15e-06 2.15e-06 2.45e-06 2.55e-06 2.45e-06 2.5e-06 2.75e-06 2.8e-06 2.75e-06 2.3e-06 1.95e-06 2.6e-06 2.8e-06 2.15e-06 1.9e-06 2.75e-06 2.3e-06 2.05e-06 1.95e-06 2.05e-06 2.1e-06 2.45e-06 1.45e-06 2.65e-06 2.4e-06 2.2e-06 2.15e-06 2.25e-06 1.55e-06 2.55e-06 2.8e-06 2.35e-06 2.5e-06 2.3e-06 2.5e-06 1.7e-06 2.05e-06 1.65e-06 1.65e-06 2.75e-06 2.65e-06 1.95e-06 2.15e-06 1.75e-06 2.6e-06 2.65e-06 2.2e-06 2.6e-06
64 1.9e-06 2.3e-06 1.7e-06 2.3e-06 1.45e-06 1.95e-06 2.1e-06 2.15e-06 2.05e-06 1.95e-06 1.95e-06 1.9e-06 1.4e-06 1.9e-06 1.9e-06 2.05e-06 2.55e-06 1.7e-06 2.2e-06 2.4e-06 2e-06 2.45e-06 1.65e-06 2.35e-06 2.1e-06 2.5e-06 1.7e-06 1.35e-06 1.85e-06 2.1e-06 2.1e-06 2.6e-06 1.8e-06 2.2e-06 1.55e-06 2.1e-06 1.55e-06 2.5e-06 2.5e-06 2.65e-06 2.35e-06 2.05e-06 2.1e-06 2.25e-06 2.25e-06 2.7e-06 2.55e-06 1.9e-06 2.65e-06 2e-06 2.55e-06 2e-06 1.7e-06 1.5e-06 2.1e-06 2.3e-06 2.55e-06 1.7e-06 2.3e-06 2.2e-06 2.25e-06 2.2e-06 2.1e-06 2.35e-06 2.6e-06 1.8e-06 2.25e-06 2.05e-06 2.15e-06 2.4e-06 1.9e-06 1.9e-06 2e-06 2.2e-06 1.95e-06 2e-06 1.85e-06 2.5e-06 2.55e-06 2.15e-06 2.15e-06
65 2.15e-06 2.3e-06 2.2e-06 2.35e-06 2.15e-06 2.2e-06 2.35e-06 2.35e-06 2.5e-06 2.05e-06 1.85e-06 2.4e-06 1.85e-06 1.8e-06 2.3e-06 2.2e-06 2.25e-06 2.2e-06 2.45e-06 2.15e-06 2.05e-06 2.6e-06 1.9e-06 2.15e-06 2.2e-06 2.45e-06 2.4e-06 1.75e-06 2e-06 2.3e-06 2.5e-06 2.55e-06 1.75e-06 2.1e-06 2.25e-06 2.4e-06 1.75e-06 2.4e-06 2.2e-06 2.5e-06 2.15e-06 2.1e-06 2.3e-06 2.6e-06 2.45e-06 2.55e-06 2.5e-06 2.1e-06 2.4e-06 2.05e-06 2.5e-06 2.4e-06 1.95e-06 2.15e-06 2.3e-06 2.45e-06 2.3e-06 2.15e-06 2.45e-06 2.1e-06 2.45e-06 2.45e-06 2.1e-06 2.5e-06 1.8e-06 2.9e-06 2.45e-06 2.05e-06 2.55e-06 2.35e-06 2.3e-06 2.35e-06 2.05e-06 2.3e-06 2.05e-06 2.25e-06 2.3e-06 2.25e-06 2.3e-06 2.35e-06 2.15e-06
66 1.4e-06 1.85e-06 1.65e-06 1.95e-06 1.7e-06 1.6e-06 1.7e-06 1.25e-06 1.5e-06 2.7e-06 2.2e-06 2.1e-06 2.3e-06 1.8e-06 2e-06 1.55e-06 1.75e-06 1.65e-06 2.2e-06 1.8e-06 2.2e-06 2.6e-06 2.4e-06 1.8e-06 2.05e-06 2.15e-06 1.45e-06 2.15e-06 2.75e-06 1.75e-06 2.2e-06 2.25e-06 1.7e-06 1.9e-06 1.6e-06 1.95e-06 2.4e-06 1.4e-06 1.7e-06 1.65e-06 1.95e-06 2.25e-06 1.55e-06 1.85e-06 1.85e-06 1.7e-06 2.2e-06 2.1e-06 1.8e-06 1.65e-06 2.2e-06 2.15e-06 1.45e-06 1.55e-06 1.75e-06 2.25e-06 1.7e-06 2.05e-06 1.8e-06 1.9e-06 1.7e-06 2.2e-06 2e-06 2.3e-06 2.25e-06 2.45e-06 2.5e-06 1.95e-06 1.9e-06 1.85e-06 1.65e-06 1.65e-06 2.65e-06 1.95e-06 1.75e-06 1.8e-06 1.75e-06 1.65e-06 1.7e-06 1.25e-06 2.05e-06
67 1.9e-06 2.3e-06 2e-06 1.8e-06 1.9e-06 2.05e-06 1.65e-06 1.85e-06 2.05e-06 2.4e-06 1.6e-06 2.3e-06 2.1e-06 1.8e-06 2.2e-06 2.05e-06 1.75e-06 2e-06 2.5e-06 1.8e-06 1.8e-06 2.65e-06 2.3e-06 1.5e-06 1.9e-06 1.9e-06 1.95e-06 1.85e-06 2.4e-06 1.5e-06 2.3e-06 2e-06 1.85e-06 2.1e-06 1.9e-06 1.95e-06 1.95e-06 1.8e-06 1.7e-06 1.35e-06 1.5e-06 1.85e-06 1.5e-06 2.15e-06 1.65e-06 1.4e-06 1.95e-06 1.65e-06 1.25e-06 1.85e-06 1.95e-06 2.25e-06 1.8e-06 1.7e-06 1.5e-06 2.45e-06 1.15e-06 1.5e-06 2.3e-06 2.1e-06 1.65e-06 2.5e-06 1.1e-06 2.5e-06 2.05e-06 2.05e-06 1.95e-06 2e-06 2.3e-06 1.75e-06 2.05e-06 2.1e-06 2.2e-06 1.25e-06 1.8e-06 1.7e-06 2.15e-06 1.1e-06 1.15e-06 1.85e-06 1.15e-06
